sample,allocations,bytes_requested,bytes_committed,overflow_blocks,bytes_per_epoch,retained_epochs
0,2,5600,0,0,65536,16
1,2,5600,0,0,65536,16
2,2,5600,0,0,65536,16
3,2,5600,0,0,65536,16
4,2,5600,0,0,65536,16
5,2,5600,0,0,65536,16
6,2,5600,0,0,65536,16
7,2,5600,0,0,65536,16
8,2,5600,0,0,65536,16
9,2,5600,0,0,65536,16
10,2,5600,0,0,65536,16
11,2,5600,0,0,65536,16
12,2,5600,0,0,65536,16
13,2,5600,0,0,65536,16
14,2,5600,0,0,65536,16
15,2,5600,0,0,65536,16
16,2,5600,0,0,65536,16
17,2,5600,0,0,65536,16
18,2,5600,0,0,65536,16
19,2,5600,0,0,65536,16
20,2,5600,0,0,65536,16
21,2,5600,0,0,65536,16
22,2,5600,0,0,65536,16
23,2,5600,0,0,65536,16
24,2,5600,0,0,65536,16
25,2,5600,0,0,65536,16
26,2,5600,0,0,65536,16
27,2,5600,0,0,65536,16
28,2,5600,0,0,65536,16
29,2,5600,0,0,65536,16
30,2,5600,0,0,65536,16
31,2,5600,0,0,65536,16
32,2,5600,0,0,65536,16
33,2,5600,0,0,65536,16
34,2,5600,0,0,65536,16
35,2,5600,0,0,65536,16
36,2,5600,0,0,65536,16
37,2,5600,0,0,65536,16
38,2,5600,0,0,65536,16
39,2,5600,0,0,65536,16
40,2,5600,0,0,65536,16
41,2,5600,0,0,65536,16
42,2,5600,0,0,65536,16
43,2,5600,0,0,65536,16
44,2,5600,0,0,65536,16
45,2,5600,0,0,65536,16
46,2,5600,0,0,65536,16
47,2,5600,0,0,65536,16
48,2,5600,0,0,65536,16
49,2,5600,0,0,65536,16
50,2,5600,0,0,65536,16
51,2,5600,0,0,65536,16
52,2,5600,0,0,65536,16
53,2,5600,0,0,65536,16
54,2,5600,0,0,65536,16
55,2,5600,0,0,65536,16
56,2,5600,0,0,65536,16
57,2,5600,0,0,65536,16
58,2,5600,0,0,65536,16
59,2,5600,0,0,65536,16
60,2,5600,0,0,65536,16
61,2,5600,0,0,65536,16
62,2,5600,0,0,65536,16
63,2,5600,0,0,65536,16
64,2,5600,0,0,65536,16
65,2,5600,0,0,65536,16
66,2,5600,0,0,65536,16
67,2,5600,0,0,65536,16
68,2,5600,0,0,65536,16
69,2,5600,0,0,65536,16
70,2,5600,0,0,65536,16
71,2,5600,0,0,65536,16
72,2,5600,0,0,65536,16
73,2,5600,0,0,65536,16
74,2,5600,0,0,65536,16
75,2,5600,0,0,65536,16
76,2,5600,0,0,65536,16
77,2,5600,0,0,65536,16
78,2,5600,0,0,65536,16
79,2,5600,0,0,65536,16
80,2,5600,0,0,65536,16
81,2,5600,0,0,65536,16
82,2,5600,0,0,65536,16
83,2,5600,0,0,65536,16
84,2,5600,0,0,65536,16
85,2,5600,0,0,65536,16
86,2,5600,0,0,65536,16
87,2,5600,0,0,65536,16
88,2,5600,0,0,65536,16
89,2,5600,0,0,65536,16
90,2,5600,0,0,65536,16
91,2,5600,0,0,65536,16
92,2,5600,0,0,65536,16
93,2,5600,0,0,65536,16
94,2,5600,0,0,65536,16
95,2,5600,0,0,65536,16
96,2,5600,0,0,65536,16
97,2,5600,0,0,65536,16
