sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
0,4,2,256,314,100,100,0
1,4,2,256,314,100,100,0
2,4,2,256,314,100,100,0
3,4,2,256,314,100,100,0
4,4,2,256,314,100,100,0
5,4,2,256,314,100,100,0
6,4,2,256,314,100,100,0
7,4,2,256,314,100,100,0
8,4,2,256,314,100,100,0
9,4,2,256,314,100,100,0
10,4,2,256,314,100,100,0
11,4,2,256,314,100,100,0
12,4,2,256,314,100,100,0
13,4,2,256,314,100,100,0
14,4,2,256,314,100,100,0
15,4,2,256,314,100,100,0
16,4,2,256,314,100,100,0
17,4,2,256,314,100,100,0
18,4,2,256,314,100,100,0
19,4,2,256,314,100,100,0
20,4,2,256,314,100,100,0
21,4,2,256,314,100,100,0
22,4,2,256,314,100,100,0
23,4,2,256,314,100,100,0
24,4,2,256,314,100,100,0
25,4,2,256,314,100,100,0
26,4,2,256,314,100,100,0
27,4,2,256,314,100,100,0
28,4,2,256,314,100,100,0
29,4,2,256,314,100,100,0
30,4,2,256,314,100,100,0
31,4,2,256,314,100,100,0
32,4,2,256,314,100,100,0
33,4,2,256,314,100,100,0
34,4,2,256,314,100,100,0
35,4,2,256,314,100,100,0
36,4,2,256,314,100,100,0
37,4,2,256,314,100,100,0
38,4,2,256,314,100,100,0
39,4,2,256,314,100,100,0
40,4,2,256,314,100,100,0
41,4,2,256,314,100,100,0
42,4,2,256,314,100,100,0
43,4,2,256,314,100,100,0
44,4,2,256,314,100,100,0
45,4,2,256,314,100,100,0
46,4,2,256,314,100,100,0
47,4,2,256,314,100,100,0
48,4,2,256,314,100,100,0
49,4,2,256,314,100,100,0
50,4,2,256,314,100,100,0
51,4,2,256,314,100,100,0
52,4,2,256,314,100,100,0
53,4,2,256,314,100,100,0
54,4,2,256,314,100,100,0
55,4,2,256,314,100,100,0
56,4,2,256,314,100,100,0
57,4,2,256,314,100,100,0
58,4,2,256,314,100,100,0
59,4,2,256,314,100,100,0
60,4,2,256,314,100,100,0
61,4,2,256,314,100,100,0
62,4,2,256,314,100,100,0
63,4,2,256,314,100,100,0
64,4,2,256,314,100,100,0
65,4,2,256,314,100,100,0
66,4,2,256,314,100,100,0
67,4,2,256,314,100,100,0
68,4,2,256,314,100,100,0
69,4,2,256,314,100,100,0
70,4,2,256,314,100,100,0
71,4,2,256,314,100,100,0
72,4,2,256,314,100,100,0
73,4,2,256,314,100,100,0
74,4,2,256,314,100,100,0
75,4,2,256,314,100,100,0
76,4,2,256,314,100,100,0
77,4,2,256,314,100,100,0
78,4,2,256,314,100,100,0
79,4,2,256,314,100,100,0
80,4,2,256,314,100,100,0
81,4,2,256,314,100,100,0
