sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
0,5600,4,2,256,314,100,100
1,5500,4,2,256,314,100,100
2,5600,4,2,256,314,100,100
3,5600,4,2,256,314,100,100
4,5600,4,2,256,314,100,100
5,5400,4,2,256,314,100,100
6,5500,4,2,256,314,100,100
7,5600,4,2,256,314,100,100
8,5700,4,2,256,314,100,100
9,5500,4,2,256,314,100,100
10,5700,4,2,256,314,100,100
11,5500,4,2,256,314,100,100
12,5600,4,2,256,314,100,100
13,5600,4,2,256,314,100,100
14,5700,4,2,256,314,100,100
15,5400,4,2,256,314,100,100
16,5600,4,2,256,314,100,100
17,5500,4,2,256,314,100,100
18,5600,4,2,256,314,100,100
19,5600,4,2,256,314,100,100
20,5500,4,2,256,314,100,100
21,5500,4,2,256,314,100,100
22,5500,4,2,256,314,100,100
23,5500,4,2,256,314,100,100
24,5600,4,2,256,314,100,100
25,5500,4,2,256,314,100,100
26,5600,4,2,256,314,100,100
27,5500,4,2,256,314,100,100
28,5700,4,2,256,314,100,100
29,5500,4,2,256,314,100,100
30,5500,4,2,256,314,100,100
31,5500,4,2,256,314,100,100
32,5700,4,2,256,314,100,100
33,5500,4,2,256,314,100,100
34,5600,4,2,256,314,100,100
35,5500,4,2,256,314,100,100
36,5500,4,2,256,314,100,100
37,5500,4,2,256,314,100,100
38,5600,4,2,256,314,100,100
39,5500,4,2,256,314,100,100
40,5600,4,2,256,314,100,100
41,5500,4,2,256,314,100,100
42,5600,4,2,256,314,100,100
43,5500,4,2,256,314,100,100
44,5700,4,2,256,314,100,100
45,5400,4,2,256,314,100,100
46,5600,4,2,256,314,100,100
47,5600,4,2,256,314,100,100
48,5600,4,2,256,314,100,100
49,5500,4,2,256,314,100,100
50,5700,4,2,256,314,100,100
51,5600,4,2,256,314,100,100
52,5500,4,2,256,314,100,100
53,5500,4,2,256,314,100,100
54,5700,4,2,256,314,100,100
55,5600,4,2,256,314,100,100
56,5600,4,2,256,314,100,100
57,5500,4,2,256,314,100,100
58,5600,4,2,256,314,100,100
59,5500,4,2,256,314,100,100
60,5600,4,2,256,314,100,100
61,5600,4,2,256,314,100,100
62,5600,4,2,256,314,100,100
63,5500,4,2,256,314,100,100
64,5600,4,2,256,314,100,100
65,5500,4,2,256,314,100,100
66,5600,4,2,256,314,100,100
67,5500,4,2,256,314,100,100
68,5600,4,2,256,314,100,100
69,5500,4,2,256,314,100,100
70,5600,4,2,256,314,100,100
71,5600,4,2,256,314,100,100
72,5500,4,2,256,314,100,100
73,5500,4,2,256,314,100,100
74,5600,4,2,256,314,100,100
75,5700,4,2,256,314,100,100
76,5500,4,2,256,314,100,100
77,5500,4,2,256,314,100,100
78,5600,4,2,256,314,100,100
79,5500,4,2,256,314,100,100
80,5500,4,2,256,314,100,100
81,5600,4,2,256,314,100,100
82,5700,4,2,256,314,100,100
83,5500,4,2,256,314,100,100
84,5600,4,2,256,314,100,100
85,5500,4,2,256,314,100,100
86,5700,4,2,256,314,100,100
87,5500,4,2,256,314,100,100
88,5600,4,2,256,314,100,100
89,5500,4,2,256,314,100,100
90,5600,4,2,256,314,100,100
91,5600,4,2,256,314,100,100
92,5600,4,2,256,314,100,100
93,5600,4,2,256,314,100,100
94,5500,4,2,256,314,100,100
95,5600,4,2,256,314,100,100
96,5500,4,2,256,314,100,100
97,5500,4,2,256,314,100,100
98,5600,4,2,256,314,100,100
99,5500,4,2,256,314,100,100
100,5700,4,2,256,314,100,100
101,5600,4,2,256,314,100,100
102,5600,4,2,256,314,100,100
103,5600,4,2,256,314,100,100
104,5600,4,2,256,314,100,100
105,5600,4,2,256,314,100,100
106,5700,4,2,256,314,100,100
107,5500,4,2,256,314,100,100
108,5600,4,2,256,314,100,100
109,5600,4,2,256,314,100,100
110,5600,4,2,256,314,100,100
111,5500,4,2,256,314,100,100
112,5600,4,2,256,314,100,100
113,5600,4,2,256,314,100,100
114,5600,4,2,256,314,100,100
115,5500,4,2,256,314,100,100
116,5500,4,2,256,314,100,100
117,5500,4,2,256,314,100,100
118,5500,4,2,256,314,100,100
119,5600,4,2,256,314,100,100
120,5600,4,2,256,314,100,100
121,5500,4,2,256,314,100,100
122,5500,4,2,256,314,100,100
123,5600,4,2,256,314,100,100
124,5600,4,2,256,314,100,100
125,5600,4,2,256,314,100,100
126,5600,4,2,256,314,100,100
127,5600,4,2,256,314,100,100
128,5600,4,2,256,314,100,100
129,5500,4,2,256,314,100,100
130,5600,4,2,256,314,100,100
131,5500,4,2,256,314,100,100
132,5600,4,2,256,314,100,100
133,5500,4,2,256,314,100,100
134,5500,4,2,256,314,100,100
135,5500,4,2,256,314,100,100
136,5700,4,2,256,314,100,100
137,5500,4,2,256,314,100,100
138,5600,4,2,256,314,100,100
139,5500,4,2,256,314,100,100
140,5600,4,2,256,314,100,100
141,5500,4,2,256,314,100,100
142,5600,4,2,256,314,100,100
143,5600,4,2,256,314,100,100
144,5500,4,2,256,314,100,100
145,5600,4,2,256,314,100,100
146,5600,4,2,256,314,100,100
147,5600,4,2,256,314,100,100
148,5500,4,2,256,314,100,100
149,5500,4,2,256,314,100,100
150,5500,4,2,256,314,100,100
151,5700,4,2,256,314,100,100
152,5600,4,2,256,314,100,100
153,5500,4,2,256,314,100,100
154,5600,4,2,256,314,100,100
155,5600,4,2,256,314,100,100
156,5600,4,2,256,314,100,100
157,5500,4,2,256,314,100,100
158,5500,4,2,256,314,100,100
159,5600,4,2,256,314,100,100
160,5600,4,2,256,314,100,100
161,5500,4,2,256,314,100,100
162,5500,4,2,256,314,100,100
163,5500,4,2,256,314,100,100
164,5600,4,2,256,314,100,100
165,5600,4,2,256,314,100,100
166,5600,4,2,256,314,100,100
167,5600,4,2,256,314,100,100
168,5500,4,2,256,314,100,100
169,5500,4,2,256,314,100,100
170,5600,4,2,256,314,100,100
171,5500,4,2,256,314,100,100
172,5500,4,2,256,314,100,100
