sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
0,5600,100,9900,100
1,5500,100,9900,100
2,5500,100,9900,100
3,5400,100,9900,100
4,5500,100,9900,100
5,5500,100,9900,100
6,5500,100,9900,100
7,5500,100,9900,100
8,5600,100,9900,100
9,6600,100,9900,100
10,5500,100,9900,100
11,6600,100,9900,100
12,5600,100,9900,100
13,5500,100,9900,100
14,5500,100,9900,100
15,5500,100,9900,100
16,5600,100,9900,100
17,7500,100,9900,100
18,9300,100,9900,100
19,8600,100,9900,100
20,5700,100,9900,100
21,6900,100,9900,100
22,5500,100,9900,100
23,5500,100,9900,100
24,5600,100,9900,100
25,5500,100,9900,100
26,5500,100,9900,100
27,5600,100,9900,100
28,5600,100,9900,100
29,5500,100,9900,100
30,5500,100,9900,100
31,5500,100,9900,100
32,5600,100,9900,100
33,5600,100,9900,100
34,5600,100,9900,100
35,5500,100,9900,100
36,5500,100,9900,100
37,5500,100,9900,100
38,5500,100,9900,100
39,5500,100,9900,100
40,5500,100,9900,100
41,5400,100,9900,100
42,5500,100,9900,100
43,5500,100,9900,100
44,5600,100,9900,100
45,5500,100,9900,100
46,6800,100,9900,100
47,5500,100,9900,100
48,5500,100,9900,100
49,5500,100,9900,100
50,5600,100,9900,100
51,5500,100,9900,100
52,5600,100,9900,100
53,5500,100,9900,100
54,5600,100,9900,100
55,6700,100,9900,100
56,5600,100,9900,100
57,5500,100,9900,100
58,5500,100,9900,100
59,5400,100,9900,100
60,5600,100,9900,100
61,5500,100,9900,100
62,5600,100,9900,100
63,5600,100,9900,100
64,10000,100,9900,100
65,8400,100,9900,100
66,8500,100,9900,100
67,8500,100,9900,100
68,8400,100,9900,100
69,8500,100,9900,100
70,8600,100,9900,100
71,8500,100,9900,100
72,8700,100,9900,100
73,8600,100,9900,100
74,6600,100,9900,100
75,5700,100,9900,100
76,6900,100,9900,100
77,5500,100,9900,100
78,5500,100,9900,100
79,5600,100,9900,100
80,5600,100,9900,100
81,5600,100,9900,100
82,5600,100,9900,100
83,5500,100,9900,100
84,5600,100,9900,100
85,5500,100,9900,100
86,5500,100,9900,100
87,5400,100,9900,100
88,5500,100,9900,100
89,5500,100,9900,100
90,5400,100,9900,100
91,5500,100,9900,100
92,5600,100,9900,100
93,5400,100,9900,100
94,5500,100,9900,100
95,5400,100,9900,100
96,5600,100,9900,100
97,5500,100,9900,100
98,5500,100,9900,100
99,5500,100,9900,100
100,5500,100,9900,100
101,5600,100,9900,100
102,6700,100,9900,100
103,5500,100,9900,100
104,6700,100,9900,100
105,5600,100,9900,100
106,5600,100,9900,100
107,5500,100,9900,100
108,5400,100,9900,100
